num_classes,unbalanced_time,unbalanced_var,balanced_time,balanced_var
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
10,0.000000,10.122449,0.000000,6.693878
25,0.000000,31.307959,0.000000,31.307959
25,0.000000,31.307959,0.000000,31.307959
25,0.000000,31.307959,0.000000,31.307959
25,0.000000,31.307959,0.000000,31.307959
25,0.000000,31.307959,0.000000,31.307959
50,0.000000,186.084381,0.000000,186.084381
50,0.000000,186.084381,0.000000,186.084381
50,0.000000,186.084381,0.000000,186.084381
50,0.000000,186.084381,0.000000,186.084381
50,0.000000,186.084381,0.000000,186.084381
100,0.000000,601.976196,0.000000,601.976196
100,0.000000,601.976196,0.000000,601.976196
100,0.000000,601.976196,0.000000,601.976196
100,0.000000,601.976196,0.000000,601.976196
100,0.000000,601.976196,0.000000,601.976196
150,0.000000,2346.926270,0.000000,2346.926270
150,0.000000,2346.926270,0.000000,2346.926270
150,0.000000,2346.926270,0.000000,2346.926270
150,0.000000,2346.926270,0.000000,2346.926270
150,0.000000,2346.926270,0.000000,2346.926270
200,0.000000,2355.646240,0.000000,2355.646240
200,0.000000,2355.646240,0.001000,2355.646240
200,0.000000,2355.646240,0.000000,2355.646240
200,0.000000,2355.646240,0.000000,2355.646240
200,0.000000,2355.646240,0.000000,2355.646240
300,0.000000,3899.802002,0.000000,3899.802002
300,0.000000,3899.802002,0.000000,3899.802002
300,0.000000,3899.802002,0.000000,3899.802002
300,0.001000,3899.802002,0.000000,3899.802002
300,0.000000,3899.802002,0.000000,3899.802002
500,0.001000,14500.359375,0.000000,14500.359375
500,0.002000,14500.359375,0.000000,14500.359375
500,0.000000,14500.359375,0.000000,14500.359375
500,0.002000,14500.359375,0.000000,14500.359375
500,0.000000,14500.359375,0.001000,14500.359375
750,0.000000,29854.396484,0.002000,29854.396484
750,0.000000,29854.396484,0.002000,29854.396484
750,0.000000,29854.396484,0.002000,29854.396484
750,0.000000,29854.396484,0.000000,29854.396484
750,0.002000,29854.396484,0.001000,29854.396484
1000,0.001000,55408.785156,0.002000,55408.785156
1000,0.002000,55408.785156,0.001000,55408.785156
1000,0.001000,55408.785156,0.002000,55408.785156
1000,0.001000,55408.785156,0.002000,55408.785156
1000,0.002000,55408.785156,0.001000,55408.785156
1500,0.003000,226891.156250,0.004000,236932.968750
1500,0.003000,226891.156250,0.003000,236932.968750
1500,0.003000,226891.156250,0.003000,236932.968750
1500,0.004000,226891.156250,0.003000,236932.968750
1500,0.004000,226891.156250,0.004000,236932.968750
2000,0.006000,446550.562500,0.007000,446550.562500
2000,0.006000,446550.562500,0.005000,446550.562500
2000,0.007000,446550.562500,0.006000,446550.562500
2000,0.006000,446550.562500,0.006000,446550.562500
2000,0.005000,446550.562500,0.006000,446550.562500
2500,0.010000,577881.062500,0.010000,577881.062500
2500,0.009000,577881.062500,0.009000,577736.875000
2500,0.010000,577881.062500,0.008000,577881.062500
2500,0.009000,577881.062500,0.009000,577736.875000
2500,0.008000,577881.062500,0.010000,577881.062500
5000,0.036000,1757128.625000,0.037000,1861367.250000
5000,0.036000,1757128.625000,0.035000,1861367.250000
5000,0.035000,1757128.625000,0.034000,1861367.250000
5000,0.036000,1757128.625000,0.035000,1861367.250000
5000,0.036000,1757128.625000,0.035000,1861367.250000
7500,0.077000,4048378.000000,0.082000,4048378.000000
7500,0.088000,4048378.000000,0.080000,4048378.000000
7500,0.079000,4048378.000000,0.076000,4048378.000000
